딜ID,회사명,산업,섹터,본사지역,설립연도,임직원수,펀드명,펀드유형,빈티지,담당파트너,딜상태,투자일자,투자금액(억원),지분율(%),매출(억원),EBITDA(억원),EBITDA마진(%),순부채(억원),기업가치EV(억원),진입 EV/EBITDA(x),진입 EV/Revenue(x),보유기간(년),현재평가가치(억원),MOIC(x),Gross IRR(%),회수일자,회수금액(억원),회수방식
DL-00731,한국소재,제조/소재,2차전지소재,대전,1991,902,스페셜시츄에이션 1호,Special Situation,2018,배준영,투자완료(Active),2022-04-06,267.2,23.1,302,108.1,35.8,536.8,1567.7,14.5,5.19,4.2,712.1,2.67,26.4,,,
DL-00732,동방이엔지,B2B서비스,인력아웃소싱,광주,2006,241,그로쓰 2호 PEF,Growth,2019,임수빈,투자심의(IC),,,,142,45.7,32.2,66.8,617.3,13.5,4.35,,,,,,,
DL-00733,아이엠케미칼,제조/소재,산업기계,충남,2014,245,세컨더리 1호,Secondary,2023,이서준,투자완료(Active),2023-05-01,337.7,75.9,181,59.7,33.0,225.0,621.2,10.4,3.43,3.1,782.6,2.32,31.0,,,
DL-00734,코리아헬스케어,바이오/헬스케어,제약,서울,2015,987,그로쓰 3호 PEF,Growth,2022,고은채,소싱(Sourcing),,,,395,127.2,32.2,754.3,1666.2,13.1,4.22,,,,,,,
DL-00735,서연케미칼,제조/소재,정밀화학,경기,1993,936,그로쓰 2호 PEF,Growth,2019,이서준,스크리닝(Screening),,,,479,85.3,17.8,10.5,1023.1,12.0,2.14,,,,,,,
DL-00736,케이파워,에너지/환경,신재생에너지,서울,1989,457,스페셜시츄에이션 1호,Special Situation,2018,한승우,투자완료(Active),2019-07-18,131.5,29.7,162,61.9,38.2,106.8,532.2,8.6,3.29,6.9,238.1,1.81,9.0,,,
DL-00737,가온에셋,금융서비스,인슈어테크,경기,2020,98,그로쓰 3호 PEF,Growth,2022,오세훈,투자심의(IC),,,,119,22.3,18.7,49.4,193.6,8.7,1.63,,,,,,,
DL-00738,세진이엔지,B2B서비스,엔지니어링,서울,1991,294,세컨더리 1호,Secondary,2023,임수빈,투자완료(Active),2025-05-28,339.0,60.8,130,35.0,26.9,16.9,475.6,13.6,3.66,1.0,289.1,0.85,-14.3,,,
DL-00739,광림시스템,IT/소프트웨어,시스템통합,경기,2010,1298,스페셜시츄에이션 1호,Special Situation,2018,김도현,회수완료(Exited),2024-11-23,2921.7,96.0,1202,314.9,26.2,1614.9,4314.5,13.7,3.59,1.5,,3.04,105.3,2026-06-10,8874.1,전략적매각(M&A)
DL-00740,케이푸드,소비재,패션/리빙,서울,1994,659,그로쓰 2호 PEF,Growth,2019,한승우,소싱(Sourcing),,,,250,69.5,27.8,176.8,1035.5,14.9,4.14,,,,,,,
DL-00741,누리파워,에너지/환경,전력/전기,경기,2016,1030,그로쓰 3호 PEF,Growth,2022,임수빈,실사(DD),,,,489,132.0,27.0,825.8,1888.0,14.3,3.86,,,,,,,
DL-00742,중앙리빙,소비재,패션/리빙,전북,1997,2574,바이아웃 1호 PEF,Buyout,2017,강태호,보류/철회(Dropped),,,,1144,221.9,19.4,357.5,1686.7,7.6,1.47,,,,,,,
DL-00743,유진파마,바이오/헬스케어,체외진단,인천,2018,164,바이아웃 1호 PEF,Buyout,2017,배준영,투자완료(Active),2020-10-13,95.4,34.6,65,23.2,35.7,27.2,264.5,11.4,4.07,5.7,149.2,1.56,8.2,,,
DL-00744,중앙금융,금융서비스,인슈어테크,경기,1989,839,벤처그로쓰 1호,Venture,2020,박민재,스크리닝(Screening),,,,482,120.0,24.9,21.4,840.1,7.0,1.74,,,,,,,
DL-00745,정밀에셋,금융서비스,여신전문,서울,1988,190,그로쓰 3호 PEF,Growth,2022,이서준,투자심의(IC),,,,110,10.4,9.5,23.3,62.7,6.0,0.57,,,,,,,
DL-00746,미래소재,제조/소재,철강금속,해외(싱가포르),1999,179,바이아웃 2호 PEF,Buyout,2021,최예린,투자완료(Active),2021-02-17,347.7,64.3,136,42.6,31.3,107.6,608.7,14.3,4.48,5.3,202.8,0.58,-9.7,,,
DL-00747,한국미디어,미디어/콘텐츠,광고/마케팅,서울,1991,586,바이아웃 2호 PEF,Buyout,2021,배준영,투자완료(Active),2022-07-27,52.3,28.6,208,28.1,13.5,139.0,311.7,11.1,1.5,3.9,60.0,1.15,3.6,,,
DL-00748,에스미디어,미디어/콘텐츠,교육,광주,2009,84,스페셜시츄에이션 1호,Special Situation,2018,고은채,투자완료(Active),2023-09-10,194.6,69.3,100,20.3,20.3,47.9,280.1,13.8,2.8,2.7,343.0,1.76,22.9,,,
DL-00749,우진솔루션,IT/소프트웨어,시스템통합,서울,2000,195,벤처그로쓰 1호,Venture,2020,강태호,투자심의(IC),,,,88,34.0,38.6,113.9,404.2,11.9,4.59,,,,,,,
DL-00750,유진소프트,IT/소프트웨어,데이터/AI,경기,2016,470,벤처그로쓰 1호,Venture,2020,강태호,투자심의(IC),,,,338,66.9,19.8,109.5,629.1,9.4,1.86,,,,,,,
DL-00751,세진물류,물류/유통,도소매유통,경북,1999,3845,스페셜시츄에이션 1호,Special Situation,2018,강태호,소싱(Sourcing),,,,1366,209.0,15.3,395.8,2842.4,13.6,2.08,,,,,,,
DL-00752,서연식품,소비재,리테일,부산,2012,849,그로쓰 3호 PEF,Growth,2022,최예린,투자완료(Active),2022-07-27,667.2,41.5,896,298.4,33.3,744.1,2088.6,7.0,2.33,3.9,1162.8,1.74,15.4,,,
DL-00753,신성매니지먼트,B2B서비스,엔지니어링,강원,1995,1029,바이아웃 1호 PEF,Buyout,2017,배준영,소싱(Sourcing),,,,939,53.5,5.7,15.2,535.2,10.0,0.57,,,,,,,
DL-00754,신성정밀,제조/소재,2차전지소재,서울,2014,617,벤처그로쓰 1호,Venture,2020,오세훈,투자완료(Active),2020-05-17,114.8,98.6,251,22.1,8.8,53.0,165.7,7.5,0.66,6.1,132.1,1.15,2.3,,,
DL-00755,가온금융,금융서비스,결제,광주,2007,3287,세컨더리 1호,Secondary,2023,서지원,회수완료(Exited),2023-06-20,2126.9,60.3,1149,394.1,34.3,450.9,3586.4,9.1,3.12,3.0,,1.68,19.1,2026-06-10,3579.6,IPO
DL-00756,태광에너지,에너지/환경,수처리,서울,1993,990,그로쓰 3호 PEF,Growth,2022,임수빈,회수완료(Exited),2024-09-23,215.1,51.9,561,76.3,13.6,45.0,396.7,5.2,0.71,1.7,,3.32,101.6,2026-06-10,714.0,Recap/배당
DL-00757,신성케미칼,제조/소재,산업기계,전남,2014,181,바이아웃 2호 PEF,Buyout,2021,강태호,소싱(Sourcing),,,,68,16.5,24.3,43.8,89.2,5.4,1.31,,,,,,,
DL-00758,코리아테크,IT/소프트웨어,정보보안,경기,1994,1542,그로쓰 3호 PEF,Growth,2022,김도현,보류/철회(Dropped),,,,954,67.7,7.1,215.7,684.1,10.1,0.72,,,,,,,
DL-00759,코리아금융,금융서비스,결제,경기,2018,2843,벤처그로쓰 1호,Venture,2020,최예린,투자심의(IC),,,,1255,395.3,31.5,944.8,3676.5,9.3,2.93,,,,,,,
DL-00760,동방매니지먼트,B2B서비스,인력아웃소싱,경기,2004,707,스페셜시츄에이션 1호,Special Situation,2018,정우성,소싱(Sourcing),,,,345,113.9,33.0,335.4,1571.1,13.8,4.55,,,,,,,
DL-00761,동방코스메틱,소비재,식음료,경북,1989,128,바이아웃 2호 PEF,Buyout,2021,남기훈,투자완료(Active),2025-01-30,62.0,98.4,83,7.5,9.0,35.5,87.4,11.7,1.05,1.4,148.1,2.39,90.0,,,
DL-00762,서연서비스,B2B서비스,엔지니어링,경기,2004,1082,바이아웃 2호 PEF,Buyout,2021,강태호,회수완료(Exited),2021-08-07,928.0,85.9,401,77.0,19.2,167.6,1116.4,14.5,2.78,4.8,,1.93,14.6,2026-06-10,1791.4,Recap/배당
DL-00763,서연미디어,미디어/콘텐츠,엔터테인먼트,부산,1988,675,그로쓰 2호 PEF,Growth,2019,배준영,실사(DD),,,,236,24.5,10.4,3.6,238.1,9.7,1.01,,,,,,,
DL-00764,중앙솔루션,IT/소프트웨어,정보보안,부산,2003,141,스페셜시츄에이션 1호,Special Situation,2018,윤지호,회수완료(Exited),2019-02-17,22.0,26.6,53,8.9,16.8,29.1,97.9,11.0,1.85,1.5,,1.19,12.2,2020-09-03,26.2,IPO
DL-00765,우진바이오,바이오/헬스케어,제약,서울,2007,1597,벤처그로쓰 1호,Venture,2020,서지원,투자완료(Active),2020-06-17,507.3,99.1,534,57.7,10.8,23.4,467.1,8.1,0.87,6.0,1045.5,2.06,12.9,,,
DL-00766,미래메디컬,바이오/헬스케어,디지털헬스,부산,1993,73,그로쓰 2호 PEF,Growth,2019,고은채,투자완료(Active),2021-07-05,57.7,75.1,73,10.3,14.1,41.1,117.3,11.4,1.61,4.9,186.3,3.23,26.8,,,
DL-00767,삼정에셋,금융서비스,결제,대구,2000,518,스페셜시츄에이션 1호,Special Situation,2018,윤지호,회수완료(Exited),2019-04-28,551.1,31.8,558,117.7,21.1,26.0,1412.9,12.0,2.53,2.2,,3.74,81.9,2021-07-11,2059.6,구주매출
DL-00768,케이F&B,소비재,리테일,서울,2015,1563,바이아웃 2호 PEF,Buyout,2021,남기훈,스크리닝(Screening),,,,590,110.3,18.7,22.9,937.8,8.5,1.59,,,,,,,
DL-00769,세진유통,물류/유통,도소매유통,경기,2012,180,벤처그로쓰 1호,Venture,2020,남기훈,보류/철회(Dropped),,,,202,16.8,8.3,38.7,231.4,13.8,1.15,,,,,,,
DL-00770,디에이치메디컬,바이오/헬스케어,의료기기,전북,1985,1517,그로쓰 3호 PEF,Growth,2022,윤지호,소싱(Sourcing),,,,815,268.9,33.0,3.2,2339.9,8.7,2.87,,,,,,,
DL-00771,한라매니지먼트,B2B서비스,시설관리,경기,1987,282,바이아웃 1호 PEF,Buyout,2017,윤지호,투자완료(Active),2020-09-24,120.6,21.4,315,75.9,24.1,298.3,789.5,10.4,2.51,5.7,278.8,2.31,15.8,,,
DL-00772,서연페이,금융서비스,자산관리,서울,2001,213,그로쓰 1호 PEF,Growth,2016,고은채,스크리닝(Screening),,,,236,79.8,33.8,0.7,590.3,7.4,2.5,,,,,,,
DL-00773,케이소프트,IT/소프트웨어,정보보안,경기,1988,1067,바이아웃 2호 PEF,Buyout,2021,배준영,투자완료(Active),2023-03-08,424.4,64.9,398,94.3,23.7,386.1,990.4,10.5,2.49,3.3,691.9,1.63,16.2,,,
DL-00774,우진스튜디오,미디어/콘텐츠,게임,대구,1998,1629,스페셜시츄에이션 1호,Special Situation,2018,박민재,회수완료(Exited),2025-03-02,280.7,25.5,702,223.2,31.8,879.9,1763.6,7.9,2.51,1.3,,4.54,228.5,2026-06-10,1275.7,재무적매각(Secondary)
DL-00775,대명헬스케어,바이오/헬스케어,제약,경기,2002,1599,세컨더리 1호,Secondary,2023,한승우,소싱(Sourcing),,,,800,65.6,8.2,179.9,446.1,6.8,0.56,,,,,,,
DL-00776,중앙익스프레스,물류/유통,3PL물류,충남,2006,1196,그로쓰 2호 PEF,Growth,2019,이서준,스크리닝(Screening),,,,447,167.2,37.4,28.1,1889.1,11.3,4.23,,,,,,,
DL-00777,세진콘텐츠,미디어/콘텐츠,게임,울산,2015,4829,스페셜시츄에이션 1호,Special Situation,2018,정우성,스크리닝(Screening),,,,2151,157.0,7.3,265.3,2339.6,14.9,1.09,,,,,,,
DL-00778,성안에셋,금융서비스,결제,서울,1985,1104,그로쓰 1호 PEF,Growth,2016,김도현,투자완료(Active),2016-01-31,1094.2,97.6,451,127.6,28.3,188.1,1110.4,8.7,2.46,10.4,1990.0,1.82,5.9,,,
DL-00779,가온정보기술,IT/소프트웨어,시스템통합,울산,2005,495,그로쓰 2호 PEF,Growth,2019,오세훈,회수완료(Exited),2020-07-14,160.4,75.7,173,34.4,19.9,9.9,185.9,5.4,1.07,2.4,,0.62,-18.3,2022-11-21,99.6,IPO
DL-00780,동방파트너스,B2B서비스,엔지니어링,경기,2003,427,바이아웃 2호 PEF,Buyout,2021,윤지호,소싱(Sourcing),,,,160,56.6,35.4,244.2,810.0,14.3,5.06,,,,,,,
DL-00781,코리아에너지,에너지/환경,신재생에너지,서울,1999,143,바이아웃 1호 PEF,Buyout,2017,오세훈,회수완료(Exited),2024-12-29,230.8,63.9,147,46.5,31.6,265.1,580.6,12.5,3.95,1.4,,2.8,103.9,2026-06-10,646.1,재무적매각(Secondary)
DL-00782,삼정솔루션,IT/소프트웨어,데이터/AI,서울,1993,936,벤처그로쓰 1호,Venture,2020,최예린,투자완료(Active),2021-06-25,327.4,32.7,470,102.0,21.7,178.6,989.3,9.7,2.1,5.0,736.1,2.25,17.8,,,
DL-00783,한솔환경,에너지/환경,폐기물처리,서울,2018,2097,바이아웃 1호 PEF,Buyout,2017,윤지호,소싱(Sourcing),,,,1585,483.4,30.5,1595.7,6477.9,13.4,4.09,,,,,,,
DL-00784,아이엠게임즈,미디어/콘텐츠,광고/마케팅,전남,1992,1299,바이아웃 2호 PEF,Buyout,2021,최예린,스크리닝(Screening),,,,619,162.2,26.2,46.5,810.9,5.0,1.31,,,,,,,
DL-00785,아이엠물류,물류/유통,이커머스,충북,1987,678,그로쓰 2호 PEF,Growth,2019,서지원,스크리닝(Screening),,,,232,15.3,6.6,17.2,87.3,5.7,0.38,,,,,,,
DL-00786,아이엠로지스틱스,물류/유통,3PL물류,대구,2011,509,그로쓰 2호 PEF,Growth,2019,고은채,투자완료(Active),2022-08-24,151.2,98.2,188,19.0,10.1,91.0,231.7,12.2,1.23,3.8,241.4,1.6,13.1,,,
DL-00787,태광F&B,소비재,화장품,경기,2002,935,바이아웃 1호 PEF,Buyout,2017,임수빈,투자완료(Active),2025-05-24,175.3,56.7,355,71.7,20.2,184.9,473.3,6.6,1.33,1.0,166.7,0.95,-4.7,,,
DL-00788,한라제약,바이오/헬스케어,체외진단,경기,2018,318,그로쓰 1호 PEF,Growth,2016,임수빈,투자완료(Active),2025-05-31,76.0,58.1,118,18.4,15.6,13.3,132.5,7.2,1.12,1.0,88.4,1.16,15.9,,,
DL-00789,성안헬스케어,바이오/헬스케어,제약,경기,2008,1098,그로쓰 3호 PEF,Growth,2022,이서준,실사(DD),,,,450,65.2,14.5,302.6,756.9,11.6,1.68,,,,,,,
DL-00790,아이엠산업,제조/소재,자동차부품,서울,2020,4328,바이아웃 2호 PEF,Buyout,2021,최예린,회수완료(Exited),2021-01-07,1713.9,31.9,1467,548.7,37.4,2444.5,7790.9,14.2,5.31,5.4,,2.66,19.8,2026-06-10,4558.1,구주매출
DL-00791,한솔파워,에너지/환경,신재생에너지,서울,2010,714,바이아웃 2호 PEF,Buyout,2021,오세훈,스크리닝(Screening),,,,472,86.4,18.3,430.6,967.4,11.2,2.05,,,,,,,
DL-00792,가온이엔지,에너지/환경,전력/전기,경기,1989,548,스페셜시츄에이션 1호,Special Situation,2018,한승우,소싱(Sourcing),,,,186,74.2,39.9,144.0,423.0,5.7,2.27,,,,,,,
DL-00793,케이파이낸셜,금융서비스,자산관리,해외(싱가포르),2000,1397,세컨더리 1호,Secondary,2023,정우성,소싱(Sourcing),,,,488,67.3,13.8,276.5,740.8,11.0,1.52,,,,,,,
DL-00794,대명유통,소비재,식음료,광주,2011,1159,세컨더리 1호,Secondary,2023,고은채,보류/철회(Dropped),,,,406,101.9,25.1,177.4,509.5,5.0,1.26,,,,,,,
DL-00795,한국파이낸셜,금융서비스,자산관리,해외(싱가포르),1996,954,그로쓰 1호 PEF,Growth,2016,서지원,실사(DD),,,,773,51.0,6.6,143.5,346.9,6.8,0.45,,,,,,,
DL-00796,미래물류,물류/유통,도소매유통,경기,1994,2023,바이아웃 2호 PEF,Buyout,2021,고은채,투자완료(Active),2021-12-25,1800.3,74.8,2307,244.5,10.6,184.4,2152.0,8.8,0.93,4.5,2235.0,1.24,5.0,,,
DL-00797,누리정보기술,IT/소프트웨어,데이터/AI,인천,2019,983,벤처그로쓰 1호,Venture,2020,임수빈,스크리닝(Screening),,,,553,114.5,20.7,320.9,767.0,6.7,1.39,,,,,,,
DL-00798,중앙에너지,에너지/환경,전력/전기,서울,2014,167,바이아웃 2호 PEF,Buyout,2021,윤지호,투자완료(Active),2021-08-20,71.5,64.8,58,21.2,36.5,54.1,154.5,7.3,2.66,4.8,160.3,2.24,18.3,,,
DL-00799,가온제약,바이오/헬스케어,제약,충남,2019,1209,바이아웃 1호 PEF,Buyout,2017,김도현,투자완료(Active),2020-09-22,1015.4,63.9,882,214.3,24.3,483.9,1800.3,8.4,2.04,5.7,861.7,0.85,-2.8,,,
DL-00800,세진코스메틱,소비재,화장품,대전,2013,1414,그로쓰 2호 PEF,Growth,2019,한승우,스크리닝(Screening),,,,531,86.6,16.3,78.9,571.2,6.6,1.08,,,,,,,
DL-00801,대명산업,제조/소재,자동차부품,충남,1986,2906,그로쓰 1호 PEF,Growth,2016,고은채,회수완료(Exited),2020-12-03,747.7,82.7,1130,88.1,7.8,252.1,1048.9,11.9,0.93,3.6,,1.26,6.7,2024-07-02,942.8,Recap/배당
DL-00802,한라테크,IT/소프트웨어,시스템통합,서울,2019,932,그로쓰 3호 PEF,Growth,2022,오세훈,투자완료(Active),2024-10-23,517.0,69.7,376,138.7,36.9,70.7,804.7,5.8,2.14,1.6,743.9,1.44,25.0,,,
DL-00803,한국스튜디오,미디어/콘텐츠,교육,경남,1990,341,스페셜시츄에이션 1호,Special Situation,2018,강태호,투자완료(Active),2019-09-04,377.7,83.8,259,61.1,23.6,156.6,556.2,9.1,2.15,6.8,1010.6,2.68,15.7,,,
DL-00804,세진메탈,제조/소재,정밀화학,경기,2015,128,그로쓰 1호 PEF,Growth,2016,한승우,투자완료(Active),2023-01-01,261.3,82.3,154,37.7,24.5,166.2,422.6,11.2,2.74,3.4,686.1,2.63,32.4,,,
DL-00805,세진바이오,바이오/헬스케어,제약,전남,1992,1330,스페셜시츄에이션 1호,Special Situation,2018,최예린,회수완료(Exited),2023-04-25,1490.2,59.9,664,203.8,30.7,958.0,2976.2,14.6,4.48,3.1,,0.83,-5.9,2026-06-10,1234.1,전략적매각(M&A)
DL-00806,동성서비스,B2B서비스,인력아웃소싱,서울,1995,374,스페셜시츄에이션 1호,Special Situation,2018,오세훈,투자완료(Active),2022-09-16,718.5,80.5,443,125.4,28.3,151.1,1015.5,8.1,2.29,3.7,3015.2,4.2,46.9,,,
DL-00807,삼정게임즈,미디어/콘텐츠,광고/마케팅,서울,1987,1873,벤처그로쓰 1호,Venture,2020,배준영,실사(DD),,,,693,166.3,24.0,110.0,1147.6,6.9,1.66,,,,,,,
DL-00808,보광소재,제조/소재,자동차부품,경기,1991,390,그로쓰 1호 PEF,Growth,2016,배준영,스크리닝(Screening),,,,255,57.4,22.5,191.6,390.1,6.8,1.53,,,,,,,
DL-00809,제이진단,바이오/헬스케어,디지털헬스,서울,1988,440,벤처그로쓰 1호,Venture,2020,김도현,실사(DD),,,,225,87.5,38.9,112.3,1155.3,13.2,5.13,,,,,,,
DL-00810,정밀환경,에너지/환경,신재생에너지,충남,2014,576,그로쓰 2호 PEF,Growth,2019,이서준,소싱(Sourcing),,,,466,151.9,32.6,479.1,1579.9,10.4,3.39,,,,,,,
DL-00811,동방랩스,IT/소프트웨어,핀테크,울산,2009,708,세컨더리 1호,Secondary,2023,배준영,보류/철회(Dropped),,,,825,43.7,5.3,64.3,616.5,14.1,0.75,,,,,,,
DL-00812,신성메탈,제조/소재,철강금속,인천,2006,371,그로쓰 1호 PEF,Growth,2016,정우성,투자완료(Active),2024-02-16,224.6,92.6,349,49.6,14.2,189.2,386.6,7.8,1.11,2.3,799.9,3.56,73.2,,,
DL-00813,신성엔터,미디어/콘텐츠,엔터테인먼트,서울,2018,1315,그로쓰 2호 PEF,Growth,2019,배준영,소싱(Sourcing),,,,669,58.9,8.8,53.8,465.1,7.9,0.7,,,,,,,
DL-00814,아이엠환경,에너지/환경,신재생에너지,울산,1995,3508,스페셜시츄에이션 1호,Special Situation,2018,정우성,스크리닝(Screening),,,,2282,518.0,22.7,666.3,2952.7,5.7,1.29,,,,,,,
DL-00815,동방스튜디오,미디어/콘텐츠,게임,강원,2011,569,바이아웃 2호 PEF,Buyout,2021,박민재,투자완료(Active),2025-06-08,378.3,79.5,327,106.9,32.7,370.2,791.3,7.4,2.42,1.0,427.1,1.13,12.8,,,
DL-00816,보광산업,제조/소재,산업기계,인천,1990,9176,바이아웃 1호 PEF,Buyout,2017,강태호,투자심의(IC),,,,3199,591.8,18.5,253.8,6983.4,11.8,2.18,,,,,,,
DL-00817,한라리빙,소비재,식음료,경기,2012,1395,스페셜시츄에이션 1호,Special Situation,2018,한승우,투자완료(Active),2024-12-19,480.2,36.9,501,173.8,34.7,448.9,1599.4,9.2,3.19,1.5,394.1,0.82,-12.5,,,
DL-00818,서연소재,제조/소재,자동차부품,전북,2013,1885,그로쓰 1호 PEF,Growth,2016,배준영,투자완료(Active),2021-12-05,239.4,30.9,779,103.6,13.3,643.0,1409.1,13.6,1.81,4.5,280.4,1.17,3.6,,,
DL-00819,미래정보기술,IT/소프트웨어,SaaS,경기,2017,303,그로쓰 1호 PEF,Growth,2016,오세훈,회수완료(Exited),2016-03-05,722.0,77.2,253,75.4,29.8,140.0,980.1,13.0,3.87,2.9,,2.07,28.2,2019-02-07,1493.3,구주매출
DL-00820,광림콘텐츠,미디어/콘텐츠,교육,대구,2003,817,세컨더리 1호,Secondary,2023,이서준,회수완료(Exited),2025-03-01,424.0,60.0,565,140.7,24.9,258.5,914.5,6.5,1.62,1.3,,2.6,111.4,2026-06-10,1102.1,전략적매각(M&A)
DL-00821,에스게임즈,미디어/콘텐츠,교육,해외(싱가포르),1998,1324,그로쓰 1호 PEF,Growth,2016,서지원,투자완료(Active),2018-09-26,895.0,91.9,830,105.4,12.7,371.5,1233.3,11.7,1.49,7.7,1795.0,2.01,9.5,,,
DL-00822,현우소재,제조/소재,정밀화학,해외(베트남),2021,1095,그로쓰 2호 PEF,Growth,2019,박민재,회수완료(Exited),2023-01-09,1041.6,63.6,522,126.3,24.2,125.6,1705.4,13.5,3.27,3.4,,0.83,-5.3,2026-06-10,866.0,Recap/배당
DL-00823,케이엔터,미디어/콘텐츠,엔터테인먼트,전남,2012,2137,바이아웃 1호 PEF,Buyout,2017,김도현,투자완료(Active),2019-12-30,971.7,51.9,805,135.2,16.8,115.4,1920.4,14.2,2.39,6.4,1986.3,2.04,11.7,,,
DL-00824,보광서비스,B2B서비스,엔지니어링,경북,1985,900,그로쓰 3호 PEF,Growth,2022,임수빈,투자완료(Active),2024-03-03,411.9,60.3,342,123.1,36.0,19.0,689.5,5.6,2.02,2.3,1203.2,2.92,60.4,,,
DL-00825,대한에너지,에너지/환경,신재생에너지,경기,1990,447,그로쓰 1호 PEF,Growth,2016,오세훈,투자완료(Active),2023-01-22,298.6,61.7,179,62.6,35.0,116.4,513.7,8.2,2.87,3.4,513.3,1.72,17.4,,,
DL-00826,현우파워,에너지/환경,폐기물처리,경기,2013,2055,바이아웃 2호 PEF,Buyout,2021,윤지호,스크리닝(Screening),,,,804,77.2,9.6,4.8,494.0,6.4,0.61,,,,,,,
DL-00827,중앙페이,금융서비스,결제,전남,1989,671,그로쓰 3호 PEF,Growth,2022,오세훈,투자완료(Active),2023-02-04,400.6,35.9,709,134.0,18.9,364.6,1366.8,10.2,1.93,3.3,996.2,2.49,31.3,,,
DL-00828,글로벌헬스케어,바이오/헬스케어,의료기기,서울,1995,940,그로쓰 2호 PEF,Growth,2019,임수빈,소싱(Sourcing),,,,544,58.2,10.7,56.1,512.2,8.8,0.94,,,,,,,
DL-00829,정밀서비스,B2B서비스,엔지니어링,서울,2019,397,세컨더리 1호,Secondary,2023,이서준,회수완료(Exited),2023-05-25,139.7,89.1,263,17.6,6.7,111.2,257.3,14.6,0.98,1.7,,1.48,25.4,2025-02-18,207.2,재무적매각(Secondary)
DL-00830,미래테크,IT/소프트웨어,데이터/AI,전북,1996,2410,세컨더리 1호,Secondary,2023,서지원,투자완료(Active),2023-07-18,2749.8,40.9,2351,853.4,36.3,3848.0,9302.2,10.9,3.96,2.9,3792.0,1.38,11.7,,,
DL-00831,코리아환경,에너지/환경,수처리,인천,2019,1706,세컨더리 1호,Secondary,2023,남기훈,소싱(Sourcing),,,,729,210.0,28.8,709.5,3128.3,14.9,4.29,,,,,,,
DL-00832,서연게임즈,미디어/콘텐츠,교육,경기,2008,1003,그로쓰 3호 PEF,Growth,2022,고은채,투자완료(Active),2023-12-17,395.5,46.2,776,77.6,10.0,76.9,900.2,11.6,1.16,2.5,574.4,1.45,16.2,,,
DL-00833,대명정보기술,IT/소프트웨어,시스템통합,서울,2003,1409,스페셜시츄에이션 1호,Special Situation,2018,오세훈,투자완료(Active),2020-10-24,792.3,60.6,593,204.6,34.5,684.2,1902.6,9.3,3.21,5.6,815.7,1.03,0.5,,,
DL-00834,에스매니지먼트,B2B서비스,인력아웃소싱,경기,1990,379,그로쓰 1호 PEF,Growth,2016,남기훈,투자완료(Active),2024-08-16,828.9,97.8,308,111.8,36.3,196.5,1006.2,9.0,3.27,1.8,2238.3,2.7,72.8,,,
DL-00835,한솔게임즈,미디어/콘텐츠,게임,경기,2021,2221,세컨더리 1호,Secondary,2023,윤지호,투자완료(Active),2024-08-13,750.9,35.7,1477,444.6,30.1,1205.2,2889.8,6.5,1.96,1.8,906.0,1.21,10.8,,,
DL-00836,동성미디어,미디어/콘텐츠,광고/마케팅,경기,2008,680,바이아웃 2호 PEF,Buyout,2021,김도현,투자완료(Active),2024-10-10,482.8,30.0,770,234.8,30.5,445.0,1949.3,8.3,2.53,1.7,861.7,1.78,41.6,,,
DL-00837,정밀파워,에너지/환경,전력/전기,부산,2003,564,바이아웃 1호 PEF,Buyout,2017,박민재,실사(DD),,,,212,81.2,38.3,354.2,958.1,11.8,4.52,,,,,,,
DL-00838,코리아게임즈,미디어/콘텐츠,광고/마케팅,서울,2005,152,그로쓰 2호 PEF,Growth,2019,서지원,투자완료(Active),2023-05-13,79.9,33.4,53,16.1,30.3,20.4,229.6,14.3,4.33,3.1,106.7,1.34,9.8,,,
DL-00839,글로벌식품,소비재,패션/리빙,서울,2008,845,그로쓰 2호 PEF,Growth,2019,한승우,투자완료(Active),2024-06-20,724.6,81.8,395,73.1,18.5,160.0,986.5,13.5,2.5,2.0,799.1,1.1,5.1,,,
DL-00840,중앙파트너스,B2B서비스,인력아웃소싱,부산,2006,708,그로쓰 3호 PEF,Growth,2022,김도현,스크리닝(Screening),,,,480,30.2,6.3,42.6,405.2,13.4,0.84,,,,,,,
DL-00841,태광환경,에너지/환경,전력/전기,경기,2018,404,바이아웃 1호 PEF,Buyout,2017,고은채,투자심의(IC),,,,358,20.0,5.6,107.0,224.5,11.2,0.63,,,,,,,
DL-00842,대한시스템,IT/소프트웨어,정보보안,서울,1992,1879,스페셜시츄에이션 1호,Special Situation,2018,오세훈,투자완료(Active),2018-01-28,524.0,41.7,762,188.2,24.7,872.1,2089.2,11.1,2.74,8.4,1354.6,2.59,12.0,,,
DL-00843,우진환경,에너지/환경,수처리,강원,2005,2201,스페셜시츄에이션 1호,Special Situation,2018,윤지호,소싱(Sourcing),,,,1556,303.4,19.5,1022.0,3792.8,12.5,2.44,,,,,,,
DL-00844,디에이치진단,바이오/헬스케어,의료기기,경기,2002,665,벤처그로쓰 1호,Venture,2020,남기훈,회수완료(Exited),2023-12-30,934.5,87.3,444,113.7,25.6,661.0,1659.5,14.6,3.74,2.4,,2.92,55.0,2026-06-10,2729.1,재무적매각(Secondary)
